,deu,nds
5795,"Er ist nicht so dumm, wie er aussieht.","He is nich sau dum, äs he uutsüt."
5796,Du bist mein Liebling.,Du büst mien Leevsten.
5797,Ich habe einen grossen Bruder und zwei kleine Schwestern.,Ik heff en groten Broder un twee lütte Süstern.
5798,Sie nahm ein Taxi zum Krankenhaus.,Se nöhm en Taxi na ’t Krankenhuus.
5799,Wie schön es heute schneit!,Wo fein dat vondaag sneet!
5800,John hat immer versucht sich ein Beispiel an Lincoln zu nehmen.,"John hett ümmer versöcht, sik en Bispeel an Lincoln to nehmen."
5801,Mein Vater ist im Garten.,Mien Vadder is in ’n Gaarn.
5802,Wer ist der Autor dieses Buches?,’Keen is de Schriever vun dit Book?
5803,Die Lichter sind aus.,De Lichten sünd ut.
5804,Sie hielt ihre Augen geschlossen.,Se höll ehr Ogen slaten.
5805,Hat sie das Buch schon ausgelesen?,Hitt se dat Book al utleest?
5806,Sie ist eine Klatschbase.,Se is en Sludertasch.
5807,Er steht um sieben Uhr auf.,He steiht Klock söven op.
5808,Sizilien ist heiß im Sommer.,Sizilien is heet in ’n Sommer.
5809,Das kann doch nicht dein Ernst sein.,Dat kann doch nich dien Eernst wesen.
5810,Wir schwimmen manchmal im See.,Wi swemmt af un to in ’n See.
5811,Wir kennen ihn nicht.,Wi kennt em nich.
5812,Tom schlug mit seiner Faust gegen die Wand.,Tom slöög mit sien Fuust gegen de Wand.
5813,Teenager tragen oft seltsame Kleidung.,Jung Lüüd draagt faken snaaksche Kledaasch.
5814,Barrichello fährt sehr schnell.,Barrichello föhrt temlich hart.
5815,"Mary wünscht sich, dass sie glattes Haar hätte.","Mary wünst sik, dat se gladd Hoor kriggt."
5816,Es gießt.,Dat gütt.
5817,Ich verdiene doppelt so viel wie du.,Ik verdeen dubbelt so veel as du.
5818,Er hat mehr Leben als eine Katze.,He hett mehr Leven as en Katt.
5819,Warum seid ihr denn so traurig?,Worüm sünd ji so trurig?
5820,Wo ist mein Satz?,Woneem is mien Satz?
5821,Du bist eine geduldige Frau.,Du büst en gedüllige Fro.
5822,"Ich glaube, die Wellen verschlingen am Ende Schiffer und Kahn; und das hat mit ihrem Singen die Lore-Ley getan.","Wenn den Schipper de Wellen wegsnappen, is gaar nich to beduurn de Mann. Wat geten den dösigen Knappen dat Froonsminsch dar baven an?"
5823,Letzte Nacht las ich ein Buch.,Vergangen Nacht heff ik en Book leest.
5824,"Ich freue mich sehr, dich zu sehen.","Ik frei mi dull, di to sehn."
5825,"Da ist ein Herr, der dich sehen will.","Dor is en Herr, de di sehn will."
5826,Es ist kein Graffiti; es ist Banksy!,Dat is keen Graffiti; dat is Banksy!
5827,Du solltest es sofort tun.,Du schusst dat gliek doon.
5828,Du solltest das gleich machen.,Du schusst dat gliek doon.
5829,Woher hast du diese alten Münzen?,Wo hest du düsse alen Münten her?
5830,Der Frühling kommt näher.,Dat Vörjahr kummt neger.
5831,"Wenn der Frühling kommt, wird es warm.","Wenn ’t Vörjahr kummt, warrt dat warm."
5832,Im Frühling wird es wärmer und wärmer.,In ’t Vörjahr warrt dat warmer un warmer.
5833,Der Turm tendierte leicht nach links.,De Toorn nüül licht na links.
5834,Was du sagst ist wahr.,Wat du seggst is wohr.
5835,Mist! Meine Freundin ist schon zurück! Was sollen wir machen?,Schiet! Mien Fründin is al trügg! Wat schöölt wi maken?
5836,Ich kann Esperanto sprechen wie ein Muttersprachler.,Ik kann Esperanto küern as en Inborener.
5837,Eis schmilzt und wird zu Wasser.,Ies smült un warrt to Water.
5838,Ein schlechtes Gefühl kann nie gut sein.,En slecht Geföhl kann nie goot wesen.
5839,Der Laden ist den ganzen Tag offen.,De Laden is ’n ganzen Dag apen.
5840,Das Geschäft hat den ganzen Tag geöffnet.,De Laden is ’n ganzen Dag apen.
5841,"Ich muss mir angewöhnen, früh aufzustehen.","Ik mutt mi anwennen, froh optostahn."
5842,Wie weit bist du mit dieser Arbeit?,Wo wiet büst du mit de Arbeit?
5843,Vor drei Jahren wurde er krank.,Vör dree Jahr is he krank worrn.
5844,"Ich finde nicht, dass sie ihrer Mutter ähnelt.","Mi dücht nich, dat se as ehr Moder lett."
5845,"Er hatte das Frühstück kaum beendet, als das Telefon klingelte.","He weer man kuum mit Fröhstück trech, as dat Telefoon bimmeln deed."
5846,Sie graben ein Loch.,Se kuhlt en Lock ut.
5847,Warum muss ich es machen?,Worüm mutt ik dat maken?
5848,Krempel die Ärmel hoch und pack an.,Krempel dien Mauen hooch un pack an.
5849,Du wirst es schaffen.,Du schasst dat schaffen.
5850,Er hat schon lange in Island gewohnt.,He hett al lang in Iesland wahnt.
5851,"Von ihm wird gesagt, er sei sehr arm.","Von em warrt seggt, dat he temlich arm is."
5852,Die Leute waren nicht auf den Sturm vorbereitet.,De Lüüd weren nich praat för den Storm.
5853,Die Demonstranten warfen Steine auf die Polizei.,De Demonstranten smeten Steen na de Polizei.
5854,Manche Leute sammeln tatsächlich Steine.,Welk Lüüd sammelt worraftig Steen.
5855,Thailand liegt in Asien.,Thailand liggt in Asien.
5856,"Ehrlich gesagt möchte ich lieber zu Hause bleiben, als auszugehen.",Ehrlich seggt woll ik lever tohuus blieven as utgahn.
5857,Warum ist Schnee weiß?,Worüm is Snee witt?
5858,Ihm stand der Schweiß auf der Stirn.,Em stünn de Sweet op de Steern.
5859,Ihre Stimmen ähneln sich am Telefon.,Jemehr Stimmen liekt enanner an ’t Telefoon.
5860,Ihr braucht nicht zu schreien. Ich kann euch hören.,Ji bruukt nich to grölen. Ik kann jo goot hören.
5861,Die Kinder teilten sich nach der Schule eine Pizza.,De Kinner hebbt sik na de School en Pizza deelt.
5862,Warum hast du versucht wegzulaufen?,Worüm hest du versöcht uttoneihn?
5863,Warum hast du versucht wegzulaufen?,Worüm hest du versöcht uttobüxen?
5864,Warum hast du versucht wegzulaufen?,Worüm hest du versöcht wegtolopen?
5865,"Während wir im Urlaub waren, hat sich ein Nachbar um unsere Katze gekümmert.","As wi op Reisen weren, hett sik en Naver üm uns Katt kümmert."
5866,Gib mir den Löffel.,Geev mi den Löpel.
5867,Napoleon lebte auf der Insel Elba im Exil.,Napoleon deed in ’t Exil op dat Eiland Elba leven.
5868,Das Geschäft verkauft Obst und Gemüse.,De Laden verköfft Aavt un Grööntüüg.
5869,Der Laden verkauft Obst und Gemüse.,De Laden verköfft Aavt un Grööntüüg.
5870,"Mutter bemerkte, dass meine Füße nicht sauber waren.","Moder mark, dat mien Fööt nich rein weren."
5871,"Sobald es dunkel wird, beginnt das Feuerwerk.","Sodraad dat düüster is, fangt dat Füürwark an."
5872,Was hast du gestern um diese Zeit gemacht?,Wat hest du güstern üm düsse Tied maakt?
5873,Sie hat eine große Nase.,Se hett en groot Nees.
5874,Er möchte dich treffen.,He will di drapen.
5875,"Niemals habe ich erwartet, dass ich ihn hier sehen würde.","Ik harr nienich dacht, dat ik em hier sehn schölen."
5876,Ich habe diesen Hut für 2000 Yen gekauft.,Ik heff dissen Hoot för 2000 Yen köfft.
5877,"Ich habe die Angewohnheit, vor dem Frühstück einen Spaziergang zu machen.","Ik bün dat so wennt, vör ’t Fröhstück en Spazeergang to maken."
5878,Warum sagst du nichts?,Worüm seggst du nix?
5879,Weck ihn nicht.,Waak em nich op.
5880,Die Bücher sind klein.,De Böker sünd lütt.
5881,"Zack, zack!",Nu man gau!
5882,Warum weint ihr?,Worüm weent ji?
5883,Dein Portemonnaie liegt auf dem Fernseher.,Dien Portmoneet liggt op ’n Kiekschapp.
5884,Von Anfang an war er von Akiko sehr angetan.,He kunn Akiko vun Anfang an goot lieden.
5885,Meine Mutter ist älter als mein Vater.,Mien Moder is öller as mien Vadder.
5886,Ich habe die Tür offen gelassen.,Ik heff de Döör apen laten.
5887,Sie haben vorigen Herbst geheiratet.,Se hebbt sik vörigen Harvst freet.
5888,Ich bin nicht taub.,Ik bün nich doof.
5889,Sie hat eine Katze. Die Katze ist weiß.,Se hett en Katt. De Katt is witt.
5890,"Wenn ich dieses Flugzeug genommen hätte, wäre ich jetzt nicht mehr am Leben.","Harr ik düsse Fleger nahmen, denn schölen ik nu woll nich mehr leven."
5891,Wann kam er hier an?,Wannehr is he hier ankamen?
5892,Wirst du am Fest teilnehmen?,Büst du bi dat Fest mit bi?
5893,"Er hatte etwas, das ich nicht hatte - Vertrauen.","He harr wat, wat ik nich harr - Vertroon."
5894,"Er hat etwas, was ich nicht habe - Vertrauen.","He harr wat, wat ik nich harr - Vertroon."
5895,Regnet es noch?,Regent dat noch?
5896,Er war beschäftigt.,He harr to doon.
5897,Er hat zu tun.,He harr to doon.
5898,"Prof. Reinhard Selten, Nobelpreisträger für Wirtschaft, sagte: Esperanto ist gut fürs Gehirn.","Professer Reinhard Selten, Nobelpriesdreger för Ökonomie, hett seggt, Esperanto is goot för den Brägen."
5899,Er erfand eine Entschuldigung.,He hett sik en Exküüs utdacht.
5900,"Wie kommt’s, dass ihr einander kennt?","Woans kummt dat, dat ji jo kennt?"
5901,Verhätschel dein Kind nicht.,Verpimpel dien Kind nich.
5902,"Erst wenn du im Sarg liegst, hat man dich das letzte Mal reingelegt!","Eerst wenn du in ’n Sarg liggst, hebbt se di dat letzte Maal rinleggt!"
5903,Es riecht sehr gut.,Dat rückt temlich goot.
5904,"Kennst du mich? — Nein, ich kenne dich nicht.","Kennst du mi? — Nee, ik kenn di nich."
5905,"Sie weiß, dass sie gut aussieht.","Se weet, dat se goot utsütt."
5906,Deutschland ist ein kaltes Land.,Düütsland is en koolt Land.
5907,Rom ist die Hauptstadt der Welt.,Room is de Höövdstad vun de Welt.
5908,Ich habe nach einer Antwort auf deine Frage gesucht.,Ik heff na en Antwoord op dien Fraag söcht.
5909,Es fängt erst um 20:30 Uhr an.,Dat geiht eerst halvig negen los.
5910,Ich habe ein rotes Tagebuch gekauft.,Ik heff en root Dagbook köfft.
5911,Ihr Haus ist nahe am Meer.,Ehr Huus is dicht bi de See.
5912,Es macht viel Spaß draußen zu spielen.,Dat maakt veel Spaaß buten to spelen.
5913,Das Bier wird dir vielleicht zuerst nicht schmecken. Man muss auf den Geschmack kommen.,Dat Beer smeckt di villicht toeerst nich. Man mutt sik an ’n Smack wennen.
5914,In Deutschland spricht man Deutsch.,In Düütsland sprkt se Düütsch.
5915,Der Junge blieb still stehen.,De Jung bleev still stahn.
5916,Kein Mensch wusste das.,Nüms wüss dat.
5917,"Ja, es geschieht gelegentlich.","Jo, dat passeert af un to."
5918,"Ja, das passiert ab und zu.","Jo, dat passeert af un to."
5919,Die Erde ist kleiner als die Sonne.,De Eerd is lütter as de Sünn.
5920,Wir machen aus Milch Käse und Butter.,Wi maakt ut Melk Kees un Botter.
5921,Die Buchstaben sch in deutschen Wörtern und sh in englischen werden in Esperanto als ŝ geschrieben. Das spart Platz und Tinte.,De Bookstaven sch in düütsche Wöör un sh in engelsche warrn schrieven ŝ in Esperanto. Dat sport Platz un Dint.
5922,Ich kann auf dich warten.,Ik kann op di töven.
5923,Diese Orangen schmecken gut.,Disse Appelsienen smeckt goot.
5924,Der Minirock ist wieder in Mode.,De Minirock is wedder Mood.
5925,Was meinst du damit?,Wat meenst du dar mit?
5926,Wasche deine Hände gut.,Wasch di önnig de Hannen.
5927,Die Straße ist aufgrund eines Unfalls gesperrt.,De Straat is vonwegen en Unfall sperrt.
5928,"Wir standen auf, als die Nationalhymne gespielt wurde.","Wi stünnen op, as de Nationalhymn speelt worrn is."
5929,Wir sind mit einem Boot zur Insel gefahren.,Wi sünd mit en Boot na de Insel föhrt.
5930,Die Katze schlief auf dem Tisch.,De Katt slööp op ’n Disch.
5931,Warum bist du zu ihm nach Hause gegangen?,Worüm büst du na sien Huus gahn?
5932,Wollt ihr den Rest von meinem Sandwich?,Wüllt ji den Rest vun mien Sandwich?
5933,Wir fliegen morgen nach Los Angeles.,Wi gleegt morgen na Los Angeles.
5934,Du willst bei der Metro arbeiten?,Du wullt bi METRO arbeiden?
5935,Du hast schöne Haut.,Du hest en schöön Huut.
5936,Das ist völliger Quatsch!,Dat is tohoop Tüdelkraam!
5937,"Was mich betrifft, mag ich Huhn lieber als Schwein.","Wat mi angeiht, ik mag lever Hohn as Swien."
5938,"Gibt es etwas, was ich tun kann, um dir zu helfen?","Gifft dat wat, wat ik doon kann, üm di to helpen?"
5939,Bitte antworte mir so bald wie möglich.,Anter mi sodraad as ’t geiht.
5940,Zwei Hundert Dollar sind eine Menge für mich.,Tweehunnerd Dollar sünd en Barg för mi.
5941,"Dieses Buch ist für mich das, was für dich die Bibel ist.","Dit Book is för mi dat, wat för di de Biebel is."
5942,Vielleicht habe ich mich geirrt.,Villicht heff ik mi vergisst.
5943,Die Zukunft war früher auch besser.,De Tokunft wat fröher ok beter.
5944,Ich warte auf meine Freundin.,Ik tööv op mien Fründin.
5945,"Es ist nicht einfach, eine Fremdsprache zu lernen.","Dat is nich licht, en frömme Spraak to lehren."
5946,"Es ist nicht leicht, eine Fremdsprache zu erlernen.","Dat is nich licht, en frömme Spraak to lehren."
5947,Ich arbeite für dich.,Ik arbeid för di.
5948,Er mag keine Apfelsinen.,He mag kene Appelsienen.
5949,Er mag keine Apfelsinen.,He mag keen Appelsienen.
5950,Er mag keine Orangen.,He mag keen Appelsienen.
5951,"Wenn du das nächste Mal zu mir kommst, zeige ich dir das Buch.","Wenn du dat nächste Maal bi mi kummst, denn wies ik di dat Book."
5952,Sie haben Angst vor ihm.,Se sint bang vüör em.
5953,"Wichtig ist, was hinten rauskommt.","Wichtig is, wat achtern rutkummt."
5954,Gib es auf!,Giff op!
5955,Gib auf!,Giff op!
5956,Gib es auf!,Geev dat na!
5957,Ich habe meine Uhr zuhause gelassen.,Ik heff mien Klock tohuus laten.
5958,Du siehst beschäftigt aus.,"Du süst ut, as wenn du to doon hest."
5959,Sie führt seit drei Jahren ein Tagebuch.,Se schrifft nu dree Jahr Dagbook.
5960,"Ich habe nicht die Absicht, nass zu werden.","Ik heff nich vör, natt to warrn."
5961,Ich bat um mehr Salz für meine Pommes.,Ik deed üm mehr Solt för mien Pommes beden.
5962,"Der Redner bat das Publikum, still zu sein.",De Snacker beed de Tohörers still to wesen.
5963,Ich habe mich schon umgezogen.,Ik heff mi al ümtrocken.
5964,"Der Gefangene ersuchte, vorzeitig entlassen zu werden.","De Fungene hett en Andrag stellt, vör de Tied rutlaten to warrn."
5965,"Tom weigert sich, sein Gemüse zu essen.",Tom woll nich sien Grööntüüg eten.
5966,"Das Mädchen, das drüben steht, ist Maria.","De Deern, de güntsied steiht, is Maria."
5967,Bist du verrückt?,Büst du mall?
5968,An deiner Stelle würde ich das Gleiche tun.,An dien Steed deed ik dat sülve doon.
5969,"Wenn ein Feiertag auf einen Sonntag fällt, haben wir am Montag frei.","Wenn en Fierdag op en Sünndag fallt, denn hebbt wi Maandag free."
5970,Menschen dürfen keine Tiere quälen.,Lüüd schullen Deerten nich pieren.
5971,Könnt ihr das noch mal machen?,Köönt ji dat noch wedder maken?
5972,Ich mag frische Luft.,Ik mag frische Luft.
5973,Ich habe ihn schon angerufen.,Ik heff em al anropen.
5974,Sie haben schon geheiratet.,Se hebbt al freet.
5975,Der Nebel ist heute so dick wie Erbsensuppe.,De Daak is vondaag dk as Arvtensupp.
5976,Zwei Jungen fehlen heute in der Schule.,Twee Jungs fehlt vondaag in ’e School.
5977,"Als ich nach Hause kam, war mein Vater bereits da.","As ik na Huus keem, weer mien Vadder al dar."
5978,"Es ist Zeit, dass du aufstehst!","Dat is Tied, dat du opkummst!"
5979,Sie verstehen sich gut mit ihren Nachbarn.,Se vergaht sik goot mit jemehr Navers.
5980,Der Knabe halbierte den Kuchen.,De Jung hett den Koken in ’e Mitt dörsneden.
5981,Er macht das nicht mit Absicht.,He deit dat nich mit Afsicht.
5982,"Manche Leute sagen, dass sie die Zukunft vorhersagen können.","Welk Lüüd seggt, dat se de Tokunft wken köönt."
5983,Die Läufer gossen Wasser über ihre Köpfe.,De Löpers göten Water över jemehr Köpp.
5984,Das Baby hat ein niedliches Gesicht.,Dat Baby hett en nüüdlich Gesicht.
5985,Was ist dein Lieblingsfilm?,Wat is dien leevsten Film?
5986,Die wollen um ihr Haus herum einen Zaun bauen.,Se wüllt en Tuun üm jemehr Huus boen.
5987,Ein grünes Feld ist ein schönes Feld.,En gröön Feld is en schöön Feld.
5988,Habt ihr eure Schlüssel gefunden?,Hebbt ji joon Slötels funnen?
5989,Sie haben einander gefunden.,Se hebbt sik funnen.
5990,Wann bist du mit deiner Arbeit fertig?,Wannehr büst du mit de Arbeit trech?
5991,Was kostet die Autoreparatur?,"Woveel köst dat, dat Auto to repareren?"
5992,Kannst du unser Spülbecken reparieren?,Kannst du uns Handsteen repareren?
5993,Fliegst du oft?,Flüggst du faken?
5994,Dieses Kleid passt dir gut.,Dit Kleed passt di goot.
5995,Warum hast du mir nicht geglaubt?,Worüm hest du mi nich glöövt?
5996,Sie kauft immer Milch.,Se köfft ümmer Melk.
5997,Die Japaner sind ein tapferes Volk.,De Japaners sünd en tapper Volk.
5998,"Japaner, seid gesprächig!","Japaners, weest spreeksch!"
5999,Ich nahm ihn beiseite.,Ik nöhm em bisied.
6000,Papa hat mir einige Bücher gekauft.,Papa hett mi en paar Böker köfft.
6001,Die Erde ist ein Planet.,De Eerd is en Planeet.
6002,"Das ist die Frau, deren Autos gestohlen wurden.","Dat is de Fro, de ehr Autos stahlen worrn sünd."
6003,"Wir haben kein warmes Wasser, weil die Rohre kaputt sind.","Wi hebbt keen warm Water, de Röhren sünd kaputt."
6004,Das Auto streifte den Zaun und bekam einen Kratzer.,Dat Auto hett den Tuun raakt un en Schramm kriegen.
6005,"Du bist so dumm, dass dich die Gänse beißen.","Du büs sau dumm, dat di de Gäuse biet."
6006,Da schaust du hinein wie ein Schwein ins Uhrwerk.,Dao kieks du rin äs ’n Swin in’t Klockwark.
6007,Davon verstehst du überhaupt nichts.,Dao kieks du rin äs ’n Swin in’t Klockwark.
6008,"Es gab so viel Essen, dass der Tisch ächzte.","Dat geev so veel to eten, dat de Disch janken deed."
6009,Ich brauche keine Brille mehr.,Ik bruuk keen Brill mehr.
6010,Wir fliegen über den Wolken.,Wi fleegt över de Wulken.
6011,Er sucht im Moment nach einem größeren Haus.,He söcht opstunns na en grötter Huus.
6012,"Wohin glaubst du, dass der Pfad führt?","Wat meenst du, wo löppt de Padd hen?"
6013,Meine Eltern haben mich von der Schule abgeholt.,Mien Öllern hebbt mi vun de School afhaalt.
6014,Tom besitzt einen gelben Sportwagen.,Tom hett en gelen Sportwagen.
6015,Tom hat zwei Häuser und ein Boot.,Tom hett twee Hüüs un een Boot.
6016,Ich besitze keinen teuren Schmuck.,Ik besitt keen düren Smuck.
6017,Tom hat eine Menge Steuerschulden.,Tom hett en Hümpel Stüürschullen.
6018,Vögel fliegen oft zusammen.,Vagels fleegt faken tohoop.
6019,"Wenn Wasser gefriert, wird es zu Eis.","Wenn Water freert, warrt dat Ies."
6020,Von Gruselfilmen bekommen die Kinder Angst.,Grulige Films warrt de Kinner woll bangmaken.
6021,Sonntags sind in Tōkyō die Straßen voll.,De Straten in Tokyo sünd sünndaags vull.
6022,Tom hat zugenommen.,Tom hett tonahmen.
6023,Ich rieche Benzin.,Ik rüük Benzin.
6024,"Der Rasenmäher braucht Benzin, um zu laufen.",De Rasenmeiher bruukt Benzin üm to lopen.
6025,Er hat sich Geld von einem Freund geliehen.,He hett sik dat Geld vun en Fründ lehnt.
6026,Das Kind versteckte sich hinter einem großen Baum.,Dat Kind deed sik achter en groten Boom versteken.
6027,Er hat ihr ein Bücherregal gebaut.,He hett ehr en Bökerboord boot.
6028,"Ich glaube, dass du Recht hast.","Ik lööv, dat du recht hest."
6029,Die Eltern erwarteten zu viel von ihrem Sohn.,De Öllern hebbt toveel vun jemehr Söhn verwacht.
6030,Die Eltern haben zu viel von ihrem Sohn erwartet.,De Öllern hebbt toveel vun jemehr Söhn verwacht.
6031,Er zerriss das Buch.,He terreet dat Book.
6032,Diesen Satz darf keiner übersetzen.,Dissen Satz dröff nüms översetten.
6033,Vor dem Essen wäscht man sich die Hände.,Vör dat Eten wast een sik de Hannen.
6034,Verbrechen lohnen sich nicht.,Verbreken lohnt sik nich.
6035,Brot wird aus Weizen hergestellt.,Broot warrt vun Weten maakt.
6036,Ich musste auf die Kinder aufpassen.,Ik müss op de Kinner oppassen.
6037,"Er beharrte darauf, ein anderes Spiel zu spielen.",He woll partu en anner Speel spelen.
6038,"Mein Vater erlaubt mir nicht, einen Hund zu halten.","Mien Vadder verlöövt mi nich, en Hund to hebben."
6039,Bist du schwanger?,Büst du swanger?
6040,Holzhäuser sind leicht entflammbar.,Holthüüs brennt licht.
6041,Holzhäuser fangen leicht Feuer.,Holthüüs fangt licht Füer.
6042,Ich will den größeren Kuchen.,Ik will den gröttern Koken.
6043,Ich möchte den größeren Kuchen.,Ik will den gröttern Koken.
6044,Wie heißt dieses Tier auf Japanisch?,Wat warrt op Japaansch to dit Deert seggt?
6045,Das Flugzeug landet um 8 Uhr.,De Fleger lannt Klock acht.
6046,Diese Insel gehörte im 19. Jahrhundert zu Frankreich.,Disse Insel hett in ’t 19. Jahrhunnert to Frankriek höört.
6047,Sie hat ihre Freunde zum Abendessen eingeladen.,Se hett ehr Frünnen to ’n Avendeten inlaadt.
6048,Nach dem Abendessen gehen wir alle ins Wohnzimmer.,Na ’t Avendeten gaht wi all in ’e Stuuv.
6049,Sie lehnte meine Einladung ab.,Se hett mien Inladen aflehnt.
6050,Was möchtest du zum Abendessen?,Wat wullt du to ’n Avendeten?
6051,Wusstest du das nicht?,Wüsst du dat nich?
6052,Lass mich das Abendessen bezahlen.,Laat mi dat Avendeten betahlen.
6053,Darf ich eine Büchse aufmachen?,Dröff ik en Doos opmaken?
6054,Ich möchte dich etwas fragen.,Ik will di wat fragen.
6055,Ich habe es schon gekauft.,Ik heff dat al köfft.
6056,Wie sagt man das?,Woans warrt dat seggt?
6057,Der Teekessel kocht.,De Teeketel kaakt.
6058,Das Zimmer ist heiß.,De Kamer is heet.
6059,Das Zimmer ist heiß.,De Kamer is heet.
6060,Ich stimme dir zu.,Ik geev di recht.
6061,Sie ist dreiunddreißig.,Se is dreeundörtig.
6062,In meiner Freizeit gehe ich auf die Jagd.,In mien free’e Tied gah ik Jagen.
6063,Er ist um 8 Uhr morgens aufgestanden.,He is Klock acht morgens opstahn.
6064,Hast du meinen Vater gesehen?,Hes du mien Vadder sehn?
6065,Hast du meinen Vater gesehen?,Hest du mien Vadder sehn?
6066,Mein Kopf tut nicht mehr weh.,Mien Kopp deit nich mehr weh.
6067,In der Stadt gibt es viele Touristen.,In ’e Stadt gifft dat veel Turisten.
6068,Ich bin Elektriker.,Ik bün Elektriker.
6069,"Wie viele Stunden braucht man, um nach Okinawa zu fliegen?","Woveel Stünnen bruukt een, üm na Okinawa to flegen?"
6070,Diese Brücke ist aus Holz.,Disse Brüch is ut Holt.
6071,Ich habe zweihundert Dollar für diese Tasche bezahlt.,Ik heff 200 Dollar för düsse Tasch betahlt.
6072,Nimm und verschwinde!,Nehm un hau af!
6073,Die Tänzerinnen hatten sich hübsch angezogen.,De Dänserinnen harrn sik opfleet.
6074,"Sie hat vergessen, den Hund zu füttern.","Se hett vergeten, den Hund Foder to geven."
6075,Hast du den Hund gefüttert?,Hest du den Hund fuddert?
6076,Löwen ernähren sich von Fleisch.,Löwen freet Fleesch.
6077,Hat er dir das Bild gezeigt?,Hitt he di dat Bild wiest?
6078,"Hallo John, wie geht es Dir?",Moin John. Wo geiht di dat?
6079,Was bedeutet Tatoeba?,Wat bedüüdt „Tatoeba“?
6080,Das werde ich niemals schaffen.,Dat schall ik nienich henkriegen.
6081,Ich habe Angst vor Eulen.,Ik bün bang vör Ulen.
6082,Er kam um sechs Uhr zurück.,He keem Klock söss trügg.
6083,"Ich mag ihn nicht, aber ich mag sie.","Ik mag em nich, aver ik mag ehr."
6084,Letzte Nacht gab es ein Feuer.,Vergangen Nacht hett dat brennt.
6085,Das ist leicht gesagt!,Dat is licht seggt!
6086,Jean und Kate sind Zwillinge.,Jean un Kaat sünd Tweeschen.
6087,Die Mutter gibt ihrem Sohn einen Apfel.,De Moder gifft ehren Söhn en Appel.
6088,Ein Hirsch rannte um sein Leben.,En Hartbuck rönn för sien Leven.
6089,Bin ich eingeschlafen?,Bün ik toslapen?
6090,Sie starb an Krebs.,Se is an Kreevt storven.
6091,Ich schwimme nicht sehr gut.,Ik swemm nich besünners goot.
6092,Es windet stark.,De Wind weiht dull.
6093,Das Kind bot dem Besucher eine Blume an.,Dat Kind hett ’n Besöker en Bloom anbaden.
6094,Hast du Kinder?,Hest du Kinner?
6095,Bring mir ein Glas Wasser.,Breng mi en Glas Water.
6096,Er hatte Durst.,He harr Döst.
6097,Ich habe mehr als eine Woche gewartet.,Ik heff mehr as een Week töövt.
6098,Rie und ich gingen zur selben Schule.,Rie un ik sünd na de sülve School gahn.
6099,Rie und ich sind zur selben Schule gegangen.,Rie un ik sünd na de sülve School gahn.
6100,Rie und ich sind zur gleichen Schule gegangen.,Rie un ik sünd na de sülve School gahn.
6101,Er kam um 5 Uhr zurück.,He keem Klock fief trügg.
6102,Er kam um fünf Uhr zurück.,He keem Klock fief trügg.
6103,Schreibst du deinen Eltern oft?,Schriffst du diene Öllern faken?
6104,Was für eine schöne Frau!,Wat en smucke Fro!
6105,"Tut mir leid, ich konnte nicht früher schreiben, da ich krank war.","Deit mi leed, ik ünner nich ehrder schrieven, ik weer krank."
6106,Ich will dich.,Ik will di.
6107,Tokio ist die teuerste Stadt der Welt.,Tokyo is de düürste Stadt op de Welt.
6108,Dies ist ein seltsamer Satz.,Dit is en snaakschen Satz.
6109,Dies ist ein merkwürdiger Satz.,Dit is en snaakschen Satz.
6110,Sein Zeh blutet.,Sien Tehn blöddt.
6111,Sein Finger blutet.,Sien Finger blöddt.
6112,Du musst aus deinen Fehlern lernen.,Du musst ut dien Fehlers lehren.
6113,Ihr müsst aus euren Fehlern lernen.,Du musst ut dien Fehlers lehren.
6114,Du musst aus Fehlern lernen.,Du musst ut dien Fehlers lehren.
6115,Er fährt oft ins Ausland.,He föhrt faken na ’t Butenland.
6116,Pandas sind sehr schlau.,Pandas sünd temlich plietsch.
6117,Mein Rücken tut immer noch weh.,Mien Puckel deit ümmer noch weh.
6118,Mein Haus hat zwei Treppen.,Mien Huus hett twee Treppen.
6119,Am liebsten mag ich Äpfel.,Opleevst mag ik Appels.
6120,Wir haben über viele Dinge geredet.,Wi hebbt över veel Saken snackt.
6121,Wir sprachen über viele Dinge.,Wi hebbt över veel Saken snackt.
6122,Es dauert nicht mehr lange bis zum Frühling.,Dat duurt nich mehr lang bet to ’t Vörjahr.
6123,Sie hat schon bessere Tage gesehen.,Se hett al betere Daag sehn.
6124,Weshalb bist du so zeitig hierher gekommen?,Worüm büst du hier so tiedig herkamen?
6125,Warum bist du hier so zeitig hergekommen?,Worüm büst du hier so tiedig herkamen?
6126,Es ist schon zehn Uhr abends.,Dat is al Klock teihn avends.
6127,Heute essen wir Grünkohl.,Vondaag eet wi Gröönkohl.
6128,Heute essen wir Grünkohl.,Vondaag eet wi Bruunkohl.
6129,Frag nicht.,Fraag nich.
6130,"Lass uns zuhause bleiben, wenn es morgen regnet.","Laat uns tohuus blieven, wenn dat morgen regent."
6131,Meine Mutter kann ohne Brille nicht lesen.,Mien Moder kann ahn Brill nich lesen.
6132,"Er hatte so große Angst, dass er um sein Leben rannte.","He harr sone Angst, dat he üm sien Leven lopen deed."
6133,Diese Schuhe sind zu klein.,Disse Schoh sünd to lütt.
6134,Sie zeigte ihm das Foto.,Se hett em dat Foto wiest.
6135,Nächste Woche werde ich 17.,Toern Week warr ik 17.
